Meses;2004;;;2005;;;2006;;;2007;;;2008;;;2009;;;2010;;;2011;;;2012;;;2013;;;2014;;;2015;;;2016;;;2017;;;2018;;;2019;;;2020;;;2021;;;2022;;;2023;;
;Nacional;Extranjero;Total;Nacional;Extranjero;Total;Nacional;Extranjero;Total;Nacional;Extranjero;Total;Nacional;Extranjero;Total;Nacional;Extranjero;Total;Nacional;Extranjero;Total;Nacional;Extranjero;Total;Nacional;Extranjero;Total;Nacional;Extranjero;Total;Nacional;Extranjero;Total;Nacional;Extranjero;Total;Nacional;Extranjero;Total;Nacional;Extranjero;Total;Nacional;Extranjero;Total;Nacional;Extranjero;Total;Nacional;Extranjero;Total;Nacional;Extranjero;Total;Nacional;Extranjero;Total;Nacional;Extranjero;Total
Enero; 1 269;372; 1 641; 1 491;420; 1 911; 2 318;139; 2 457; 2 839;502; 3 341; 3 523;736; 4 259; 3 410;961; 4 371; 4 092; 1 430; 5 522; 4 356; 1 377; 5 733; 5 981; 1 397; 7 378; 6 325; 1 525; 7 850; 5 856; 1 574; 7 430; 12 683; 2 088; 14 771; 12 444; 3 478; 15 922; 15 361; 4 577; 19 938; 17 639; 4 240; 21 879; 23 783; 4 322; 28 105; 21 524; 4 799; 26 323; 14 782;172; 14 954; 16 587; 9 771; 26 358; 9 679; 1 513; 11 192
Febrero; 1 416;379; 1 795; 1 534;327; 1 861; 2 347;39; 2 386; 3 104;536; 3 640; 2 781;656; 3 437; 1 819;605; 2 424; 3 099; 1 114; 4 213; 3 623; 1 156; 4 779; 5 192; 1 163; 6 355; 5 644; 1 160; 6 804; 6 886; 1 447; 8 333; 11 886; 1 728; 13 614; 11 535; 2 968; 14 503; 10 392; 3 448; 13 840; 16 158; 4 142; 20 300; 15 325; 4 576; 19 901; 23 633; 4 421; 28 054;0;0;0; 12 630; 1 057; 13 687; 10 931;679; 11 610
Marzo; 1 240;356; 1 596; 4 981;553; 5 534; 1 903;58; 1 961; 1 715;869; 2 584; 5 407;901; 6 308; 1 026;906; 1 932; 2 206; 1 266; 3 472; 2 199; 1 243; 3 442; 2 833; 1 327; 4 160; 10 677; 1 935; 12 612; 3 674; 1 589; 5 263; 5 058; 2 225; 7 283; 20 271; 4 107; 24 378; 4 384; 1 930; 6 314; 28 305; 4 886; 33 191; 10 585; 4 946; 15 531; 9 965; 1 382; 11 347; 4 233;30; 4 263; 7 505; 1 447; 8 952; 5 257;623; 5 880
Abril; 10 514;860; 11 374; 1 331;535; 1 866; 6 138; 4 053; 10 191; 11 684; 1 296; 12 980; 1 677;885; 2 562; 6 800; 1 344; 8 144; 8 619; 1 780; 10 399; 10 865; 1 917; 12 782; 12 043; 2 437; 14 480; 2 827; 2 199; 5 026; 18 621; 2 608; 21 229; 19 167; 3 431; 22 598; 4 507; 4 473; 8 980; 12 110; 3 678; 15 788; 6 109; 9 549; 15 658; 34 853; 7 183; 42 036;0;0;0; 4 962;115; 5 077; 18 250; 2 360; 20 610; 16 486; 1 788; 18 274
Mayo; 3 510; 1 349; 4 859; 2 060;884; 2 944; 3 888; 2 346; 6 234; 4 561; 2 130; 6 691; 6 361; 1 892; 8 253; 2 896; 2 050; 4 946; 5 054; 2 787; 7 841; 4 657; 3 026; 7 683; 5 702; 3 756; 9 458; 6 092; 3 652; 9 744; 7 432; 4 153; 11 585; 15 486; 4 588; 20 074; 8 867; 6 324; 15 191; 10 457; 7 641; 18 098; 12 926; 8 810; 21 736; 17 714; 8 731; 26 445;0;0;0; 11 801;255; 12 056; 14 689; 4 058; 18 747; 6 386; 2 517; 8 903
Junio; 3 471; 1 628; 5 099; 1 514;969; 2 483; 2 994; 1 771; 4 765; 4 294; 2 942; 7 236; 3 626; 2 884; 6 510; 2 906; 3 933; 6 839; 3 522; 3 280; 6 802; 3 947; 4 438; 8 385; 7 519; 4 651; 12 170; 7 319; 4 992; 12 311; 6 896; 5 033; 11 929; 14 070; 5 417; 19 487; 7 990; 7 994; 15 984; 10 981; 8 384; 19 365; 12 993; 9 506; 22 499; 15 699; 12 494; 28 193;0;0;0; 12 987;551; 13 538; 10 345; 4 423; 14 768; 11 173; 3 426; 14 599
Julio; 10 600; 1 501; 12 101; 13 981; 2 784; 16 765; 10 933; 9 744; 20 677; 11 106; 4 424; 15 530; 15 301; 4 987; 20 288; 16 396; 6 043; 22 439; 15 721; 6 674; 22 395; 18 873; 6 574; 25 447; 13 917; 5 642; 19 559; 18 544; 6 245; 24 789; 28 099; 6 003; 34 102; 36 945; 7 022; 43 967; 42 171; 8 606; 50 777; 50 933; 11 246; 62 179; 46 151; 12 359; 58 510; 57 815; 11 276; 69 091;0;0;0; 44 394;879; 45 273; 33 118; 6 013; 39 131; 30 415; 2 717; 33 132
Agosto; 9 600; 1 347; 10 947; 11 981; 2 609; 14 590; 9 488; 7 871; 17 359; 12 344; 4 653; 16 997; 10 500; 4 371; 14 871; 6 829; 6 048; 12 877; 10 053; 5 797; 15 850; 13 014; 5 413; 18 427; 16 280; 4 647; 20 927; 16 107; 4 628; 20 735; 19 156; 5 672; 24 828; 29 707; 6 452; 36 159; 25 403; 8 594; 33 997; 36 408; 13 671; 50 079; 52 622; 11 311; 63 933; 53 862; 9 254; 63 116;0;0;0; 51 973; 2 851; 54 824; 30 568; 5 777; 36 345; 26 706; 4 816; 31 522
Septiembre; 4 830;497; 5 327; 3 215;943; 4 158; 6 802; 5 088; 11 890; 6 708; 2 221; 8 929; 2 885; 2 664; 5 549; 4 385; 3 847; 8 232; 5 236; 3 178; 8 414; 5 858; 3 369; 9 227; 8 391; 3 257; 11 648; 11 113; 3 411; 14 524; 10 739; 3 565; 14 304; 18 156; 5 507; 23 663; 11 736; 6 346; 18 082; 13 419; 7 104; 20 523; 27 930; 9 592; 37 522; 25 038; 7 971; 33 009;0;0;0; 17 599; 1 846; 19 445; 14 844; 5 785; 20 629; 10 990; 3 767; 14 757
Octubre; 28 132; 1 467; 29 599; 30 101; 1 312; 31 413; 14 387; 20 597; 34 984; 21 710; 10 112; 31 822; 14 099; 2 228; 16 327; 7 851; 2 564; 10 415; 10 323; 2 445; 12 768; 12 087; 2 163; 14 250; 11 864; 2 468; 14 332; 12 827; 2 873; 15 700; 14 984; 3 176; 18 160; 23 461; 4 246; 27 707; 21 568; 5 166; 26 734; 16 165; 6 447; 22 612; 22 784; 7 339; 30 123; 30 140; 3 467; 33 607; 6 339; 1 207; 7 546; 27 140; 1 914; 29 054; 17 205; 4 805; 22 010; 15 557; 3 932; 19 489
Noviembre; 22 438;898; 23 336; 27 642;489; 28 131; 10 799; 15 543; 26 342; 26 266; 3 114; 29 380; 15 495; 1 176; 16 671; 8 810; 1 537; 10 347; 10 167; 1 505; 11 672; 9 894; 1 406; 11 300; 9 330; 1 730; 11 060; 11 119; 1 928; 13 047; 12 293; 2 230; 14 523; 7 204; 3 533; 10 737; 20 680; 4 604; 25 284; 6 622; 13 394; 20 016; 23 847; 5 558; 29 405; 24 617; 4 463; 29 080; 15 833;107; 15 940; 13 269; 1 618; 14 887; 10 911; 3 067; 13 978; 11 469; 3 713; 15 182
Diciembre; 1 604;24; 1 628; 7 214;472; 7 686; 4 474; 5 640; 10 114; 4 869;983; 5 852; 3 277;618; 3 895; 3 150; 1 233; 4 383; 1 760;811; 2 571; 4 262; 1 103; 5 365; 4 532; 1 475; 6 007; 4 224; 1 210; 5 434; 4 427; 1 749; 6 176; 6 366; 2 734; 9 100; 7 715; 3 604; 11 319; 10 364; 4 253; 14 617; 14 647; 9 037; 23 684; 12 856; 4 618; 17 474; 9 517;236; 9 753; 7 933;803; 8 736; 8 164; 1 692; 9 856; 11 422; 1 624; 13 046
Total; 98 624; 10 678; 109 302; 107 045; 12 297; 119 342; 76 471; 72 889; 149 360; 111 200; 33 782; 144 982; 84 932; 23 998; 108 930; 66 278; 31 071; 97 349; 79 852; 32 067; 111 919; 93 635; 33 185; 126 820; 103 584; 33 950; 137 534; 112 818; 35 758; 148 576; 139 063; 38 799; 177 862; 200 189; 48 971; 249 160; 194 887; 66 264; 261 151; 197 596; 85 773; 283 369; 282 111; 96 329; 378 440; 322 287; 83 301; 405 588; 86 811; 12 152; 98 963; 211 073; 11 034; 222 107; 194 816; 50 255; 245 071; 166 471; 31 115; 197 586
